1,Nolan Ryan,1st,491,98.8%,256,55,27,81.8,43.3,62.6,62.1,807,852,40,94,2,36,3,38,.110,.148,.134,.282,-18,324,292,3.19,112,1.247,807,773,3,5386.0,3923,321,2795,5714,*1
2,George Brett,1st,488,98.2%,210,61,21,88.4,53.2,70.8,55.0,2707,10349,1583,3154,317,1596,201,1096,.305,.369,.487,.857,135,,,,,,,,,,,,,,*5*D*3/796
3,Robin Yount,1st,385,77.5%,132,52,20,77.0,47.2,62.1,54.7,2856,11008,1632,3142,251,1406,271,966,.285,.342,.430,.772,115,,,,,,,,,,,,,,*6*8D7/3
4,Carlton Fisk HOF,1st,330,66.4%,120,49,24,68.3,37.5,52.9,43.1,2499,8756,1276,2356,376,1330,128,849,.269,.341,.457,.797,117,,,,,,,,,,,,,,*2D7/35
5,Tony Perez HOF,8th,302,60.8%,81,41,23,53.9,36.4,45.2,54.2,2777,9778,1272,2732,379,1652,49,925,.279,.341,.463,.804,122,,,,,,,,,,,,,,*3*5D/4
6,Gary Carter HOF,2nd,168,33.8%,135,41,19,69.9,48.2,59.1,43.1,2296,7971,1025,2092,324,1225,39,848,.262,.335,.439,.773,115,,,,,,,,,,,,,,*293/75
7,Steve Garvey,7th,150,30.2%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
8,Jim Rice HOF,5th,146,29.4%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
9,Bruce Sutter HOF,6th,121,24.3%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
10,Jim Kaat,11th,100,20.1%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
11,Dale Murphy,1st,96,19.3%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
12,Tommy John,5th,93,18.7%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
13,Dave Parker,3rd,80,16.1%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
14,X-Minnie Minoso,15th,73,14.7%,87,35,17,50.2,39.8,45.0,53.3,1835,6579,1136,1963,186,1023,205,814,.298,.389,.459,.848,130,,,,,,,,,,,,,,*7598/3D6
15,Bert Blyleven HOF,2nd,70,14.1%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
16,Dave Concepcion,6th,59,11.9%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
17,Luis Tiant,12th,53,10.7%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
18,Keith Hernandez,4th,34,6.8%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
19,Ron Guidry,6th,31,6.2%,106,38,14,48.1,38.1,43.1,62.1,379,0,4,0,0,0,0,0,,,,,,170,91,3.29,119,1.184,368,323,4,2392.0,2198,226,633,1778,*1/8
20,Bob Boone,4th,27,5.4%,102,25,19,27.3,20.3,23.8,43.1,2264,7245,679,1838,105,826,38,663,.254,.315,.346,.661,82,,,,,,,,,,,,,,*2/35D7
21,X-Mickey Lolich,15th,26,5.2%,98,37,16,49.1,38.6,43.8,62.1,592,821,63,90,0,31,1,105,.110,.215,.121,.335,-2,217,191,3.44,104,1.227,586,496,10,3638.1,3366,347,1099,2832,*1
22,X-Dwight Evans,3rd,18,3.6%,70,44,20,66.9,37.1,52.0,58.1,2606,8996,1470,2446,385,1384,78,1391,.272,.370,.470,.840,127,,,,,,,,,,,,,,*9D378
23,X-George Bell,1st,6,1.2%,54,19,12,19.9,21.4,20.6,53.3,1587,6123,814,1702,265,1002,67,331,.278,.316,.469,.785,113,,,,,,,,,,,,,,*7*D9/54
24,X-John Candelaria,1st,1,0.2%,39,33,19,42.4,31.0,36.7,62.1,603,596,39,104,1,48,0,44,.174,.233,.223,.456,26,177,122,3.33,114,1.184,600,356,29,2525.2,2399,245,592,1673,*1
25,X-Frank Tanana,1st,0,0.0%,55,35,21,57.9,38.5,48.2,62.1,639,59,3,9,0,5,0,2,.153,.180,.203,.384,4,240,236,3.66,106,1.270,638,616,1,4188.1,4063,448,1255,2773,*1/D
26,X-Mike Witt,1st,0,0.0%,20,9,12,22.0,21.6,21.8,62.1,341,0,0,0,0,0,0,0,,,,,,117,116,3.83,105,1.318,341,299,6,2108.1,2066,183,713,1373,*1
27,X-Mike Boddicker,1st,0,0.0%,27,13,14,31.8,28.7,30.3,62.1,346,0,2,0,0,0,0,0,,,,,,134,116,3.80,108,1.320,342,309,3,2123.2,2082,188,721,1330,*1/D
28,X-Charlie Leibrandt,1st,0,0.0%,18,16,14,33.8,30.4,32.1,62.1,394,267,7,32,0,14,0,13,.120,.160,.146,.306,-15,140,119,3.71,108,1.320,394,346,2,2308.0,2390,172,656,1121,*1
