1,Eddie Murray,1st,423,85.3%,154,56,21,68.3,39.0,53.6,54.2,3026,11336,1627,3255,504,1917,110,1333,.287,.359,.476,.836,129,,,,,,,,,,,,,,*3*D/57
2,Gary Carter,6th,387,78.0%,135,41,19,69.9,48.2,59.1,43.1,2296,7971,1025,2092,324,1225,39,848,.262,.335,.439,.773,115,,,,,,,,,,,,,,*293/75
3,Bruce Sutter HOF,10th,266,53.6%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
4,Jim Rice HOF,9th,259,52.2%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
5,Andre Dawson HOF,2nd,248,50.0%,118,44,21,64.5,42.5,53.5,57.2,2627,9927,1373,2774,438,1591,314,589,.279,.323,.482,.806,119,,,,,,,,,,,,,,*9*8D7
6,Ryne Sandberg HOF,1st,244,49.2%,158,43,16,67.5,46.8,57.2,56.9,2164,8385,1318,2386,282,1061,344,761,.285,.344,.452,.795,114,,,,,,,,,,,,,,*45/6D
7,Lee Smith,1st,210,42.3%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
8,Rich Gossage HOF,4th,209,42.1%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
9,Bert Blyleven HOF,6th,145,29.2%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
10,Steve Garvey,11th,138,27.8%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
11,X-Jim Kaat,15th,130,26.2%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
12,Tommy John,9th,116,23.4%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
13,Jack Morris,4th,113,22.8%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
14,Alan Trammell,2nd,70,14.1%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
15,Don Mattingly,3rd,68,13.7%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
16,Dale Murphy,5th,58,11.7%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
17,Dave Concepcion,10th,55,11.1%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
18,Dave Parker,7th,51,10.3%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
19,Fernando Valenzuela,1st,31,6.2%,66,25,17,42.1,33.9,38.0,62.1,474,936,56,187,10,84,0,8,.200,.205,.262,.467,30,173,153,3.54,104,1.320,453,424,2,2930.0,2718,226,1151,2074,*1/379
20,Keith Hernandez,8th,30,6.0%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
21,X-Darryl Kile,1st,7,1.4%,31,12,12,20.3,21.2,20.8,62.1,364,657,38,87,2,40,0,43,.132,.190,.177,.367,-3,133,119,4.12,104,1.410,359,331,0,2165.1,2135,214,918,1668,*1
22,X-Vince Coleman,1st,3,0.6%,27,13,13,12.2,13.0,12.6,53.3,1371,5406,849,1425,28,346,752,477,.264,.324,.345,.668,83,,,,,,,,,,,,,,*78/9D
23,X-Rick Honeycutt,1st,2,0.4%,32,9,21,22.3,18.4,20.3,34.4,801,182,13,24,0,9,1,18,.132,.210,.148,.358,3,109,143,3.72,104,1.315,797,268,38,2160.0,2183,185,657,1038,*1/D
24,X-Sid Fernandez,1st,2,0.4%,21,21,15,32.8,25.8,29.3,62.1,308,539,28,98,1,34,1,16,.182,.206,.223,.429,21,114,96,3.36,111,1.144,307,300,1,1866.2,1421,191,715,1743,*1
25,X-Brett Butler,1st,2,0.4%,54,36,17,49.4,35.2,42.3,57.2,2213,8180,1359,2375,54,578,558,1129,.290,.377,.376,.753,110,,,,,,,,,,,,,,*87/9D
26,X-Tony Pena,1st,2,0.4%,98,23,18,24.6,24.6,24.6,43.1,1988,6489,667,1687,107,708,80,455,.260,.309,.364,.673,84,,,,,,,,,,,,,,*2/395D
27,X-Darren Daulton,1st,1,0.2%,25,30,14,22.9,23.6,23.2,43.1,1161,3630,511,891,137,588,50,629,.245,.357,.427,.784,114,,,,,,,,,,,,,,*293/D7
28,X-Mark Davis,1st,1,0.2%,20,5,15,8.3,12.3,10.3,34.4,625,167,16,26,1,9,1,8,.156,.194,.240,.434,21,51,84,4.17,89,1.399,624,85,96,1145.0,1068,129,534,1007,*1
29,X-Danny Tartabull,1st,1,0.2%,31,26,14,23.2,20.4,21.8,58.1,1406,5011,756,1366,262,925,37,768,.273,.368,.496,.864,133,,,,,,,,,,,,,,*9*D4/675
30,X-Mickey Tettleton,1st,0,0.0%,17,28,14,29.3,24.6,27.0,43.1,1485,4698,711,1132,245,732,23,949,.241,.369,.449,.818,122,,,,,,,,,,,,,,*2*D39/7
31,X-Todd Worrell,1st,0,0.0%,58,13,11,11.4,12.6,12.0,34.4,617,27,1,2,0,0,0,1,.074,.107,.148,.255,-31,50,52,3.09,122,1.233,617,0,256,693.2,608,65,247,628,*1/9
32,X-Danny Jackson,1st,0,0.0%,34,6,15,17.3,23.4,20.4,62.1,356,428,28,54,0,28,0,10,.126,.148,.164,.311,-15,112,131,4.01,100,1.412,353,324,1,2072.2,2110,133,816,1225,*1
33,X-Mitch Williams,1st,0,0.0%,28,11,11,7.8,9.7,8.8,34.4,619,16,2,3,1,4,0,1,.188,.235,.375,.610,66,45,58,3.65,111,1.564,619,3,192,691.1,537,49,544,660,*1
