1,Wade Boggs,1st,474,91.9%,268,58,18,91.1,56.2,73.6,55.0,2440,9180,1513,3010,118,1014,24,1412,.328,.415,.443,.858,131,0,0,3.86,157,1.714,2,0,0,2.1,3,0,1,2,*5D3/17
2,Ryne Sandberg,3rd,393,76.2%,158,43,16,67.5,46.8,57.2,56.9,2164,8385,1318,2386,282,1061,344,761,.285,.344,.452,.795,114,,,,,,,,,,,,,,*45/6D
3,Bruce Sutter HOF,12th,344,66.7%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
4,Jim Rice HOF,11th,307,59.5%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
5,Rich Gossage HOF,6th,285,55.2%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
6,Andre Dawson HOF,4th,270,52.3%,118,44,21,64.5,42.5,53.5,57.2,2627,9927,1373,2774,438,1591,314,589,.279,.323,.482,.806,119,,,,,,,,,,,,,,*9*8D7
7,Bert Blyleven HOF,8th,211,40.9%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
8,Lee Smith,3rd,200,38.8%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
9,Jack Morris,6th,172,33.3%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
10,Tommy John,11th,123,23.8%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
11,Steve Garvey,13th,106,20.5%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
12,Alan Trammell,4th,87,16.9%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
13,Dave Parker,9th,65,12.6%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
14,Don Mattingly,5th,59,11.4%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
15,Dave Concepcion,12th,55,10.7%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
16,Dale Murphy,7th,54,10.5%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
17,Willie McGee,1st,26,5.0%,84,23,18,34.0,28.5,31.3,57.2,2201,7649,1010,2254,79,856,352,448,.295,.333,.396,.729,100,,,,,,,,,,,,,,*8*97/3D6
18,X-Jim Abbott,1st,13,2.5%,6,3,10,19.9,22.7,21.3,62.1,263,21,0,2,0,3,0,0,.095,.095,.095,.190,-51,87,108,4.25,99,1.433,263,254,0,1674.0,1779,154,620,888,1
19,X-Darryl Strawberry,1st,6,1.2%,56,30,17,42.0,34.7,38.3,58.1,1583,5418,898,1401,335,1000,221,816,.259,.357,.505,.862,138,,,,,,,,,,,,,,*9D78
20,X-Jack McDowell,1st,4,0.8%,36,18,12,28.2,25.3,26.8,62.1,277,0,0,0,0,0,0,0,,,,,,127,87,3.85,111,1.302,277,275,0,1889.0,1854,173,606,1311,1
21,X-Chili Davis,1st,3,0.6%,30,39,19,38.1,24.7,31.4,57.2,2436,8673,1240,2380,350,1372,142,1194,.274,.360,.451,.811,121,0,0,0.00,,0.000,1,0,0,2.0,0,0,0,0,*D*8*97/31
22,X-Jeff Montgomery,1st,2,0.4%,66,12,13,20.9,19.2,20.1,34.4,700,2,0,0,0,0,0,0,.000,.000,.000,.000,-100,46,52,3.27,135,1.244,700,1,304,868.2,785,81,296,733,*1
23,X-Tom Candiotti,1st,2,0.4%,12,17,16,41.5,34.1,37.8,62.1,452,299,11,35,0,12,0,7,.117,.140,.134,.273,-24,151,164,3.73,108,1.301,451,410,0,2725.0,2662,250,883,1735,*1
24,X-Tony Phillips,1st,1,0.2%,26,32,18,50.8,34.0,42.4,56.9,2161,7617,1300,2023,160,819,177,1319,.266,.374,.389,.763,109,,,,,,,,,,,,,,*4*7*569D8/3
25,X-Terry Steinbach,1st,1,0.2%,47,25,14,28.0,21.6,24.8,43.1,1546,5369,638,1453,162,745,23,418,.271,.326,.420,.746,102,,,,,,,,,,,,,,*2D3/597
26,X-Otis Nixon,1st,0,0.0%,4,15,17,16.7,14.5,15.6,57.2,1709,5115,878,1379,11,318,620,585,.270,.343,.314,.658,77,,,,,,,,,,,,,,*8*79/D6
27,X-Mark Langston,1st,0,0.0%,64,23,16,50.7,41.8,46.2,62.1,459,92,5,14,0,5,0,2,.152,.168,.185,.353,-1,179,158,3.97,107,1.354,457,428,0,2962.2,2723,311,1289,2464,*1/D
