1,Craig Biggio,1st,388,68.2%,169,57,20,65.1,41.6,53.4,56.9,2850,10876,1844,3060,291,1175,414,1160,.281,.363,.433,.796,112,,,,,,,,,,,,,,*4*287/D9
2,Jack Morris,14th,385,67.7%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
3,Jeff Bagwell,3rd,339,59.6%,150,59,15,79.6,48.2,63.9,54.2,2150,7797,1517,2314,449,1529,202,1401,.297,.408,.540,.948,149,,,,,,,,,,,,,,*3/D9
4,Mike Piazza,1st,329,57.8%,207,62,16,59.4,43.1,51.2,43.1,1912,6911,1048,2127,427,1335,17,759,.308,.377,.545,.922,142,,,,,,,,,,,,,,*2D3
5,Tim Raines,6th,297,52.2%,90,47,23,69.1,42.2,55.6,53.3,2502,8872,1571,2605,170,980,808,1330,.294,.385,.425,.810,123,,,,,,,,,,,,,,*78D4/9
6,Lee Smith,11th,272,47.8%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
7,Curt Schilling,1st,221,38.8%,171,46,20,79.9,49.0,64.5,62.1,571,773,39,117,0,29,1,25,.151,.178,.171,.348,-9,216,146,3.46,127,1.137,569,436,22,3261.0,2998,347,711,3116,*1
8,Roger Clemens,1st,214,37.6%,332,73,24,140.3,66.3,103.3,62.1,709,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
9,Barry Bonds,1st,206,36.2%,340,76,22,162.4,72.7,117.6,53.3,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78D/9
10,Edgar Martinez,4th,204,35.9%,132,50,18,68.3,43.6,56.0,55.0,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5/3
11,Alan Trammell,12th,191,33.6%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
12,Larry Walker,3rd,123,21.6%,148,58,17,72.6,44.6,58.6,58.1,1988,6907,1355,2160,383,1311,230,913,.313,.400,.565,.965,141,,,,,,,,,,,,,,*9387/D45
13,Fred McGriff,4th,118,20.7%,100,48,19,52.4,35.8,44.1,54.2,2460,8757,1349,2490,493,1550,72,1305,.284,.377,.509,.886,134,,,,,,,,,,,,,,*3D
14,Dale Murphy,15th,106,18.6%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
15,Mark McGwire,7th,96,16.9%,170,42,16,62.0,41.8,51.9,54.2,1874,6187,1167,1626,583,1414,12,1317,.263,.394,.588,.982,163,,,,,,,,,,,,,,*3D/59
16,Don Mattingly,13th,75,13.2%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
17,Sammy Sosa,1st,71,12.5%,202,52,18,58.4,43.7,51.0,58.1,2354,8813,1475,2408,609,1667,234,929,.273,.344,.534,.878,128,,,,,,,,,,,,,,*98D/7
18,Rafael Palmeiro,3rd,50,8.8%,178,57,20,71.6,38.7,55.2,54.2,2831,10472,1663,3020,569,1835,97,1353,.288,.371,.515,.885,132,,,,,,,,,,,,,,*3*D7/98
19,Bernie Williams,2nd,19,3.3%,134,48,16,49.4,37.5,43.5,57.2,2076,7869,1366,2336,287,1257,147,1069,.297,.381,.477,.858,125,,,,,,,,,,,,,,*8D9/7
20,Kenny Lofton,1st,18,3.2%,91,42,17,68.2,43.3,55.7,57.2,2103,8120,1528,2428,130,781,622,945,.299,.372,.423,.794,107,,,,,,,,,,,,,,*87/D9
21,Sandy Alomar,1st,16,2.8%,48,24,20,13.7,13.1,13.4,43.1,1377,4530,520,1236,112,588,25,212,.273,.309,.406,.716,86,,,,,,,,,,,,,,*2/D3
22,Julio Franco,1st,6,1.1%,58,42,23,43.4,30.6,37.0,56.9,2527,8677,1285,2586,173,1194,281,917,.298,.365,.417,.782,111,,,,,,,,,,,,,,*6*4*3*D/579
23,David Wells,1st,5,0.9%,87,40,21,53.6,31.4,42.5,62.1,660,178,8,23,0,5,0,3,.129,.148,.140,.289,-22,239,157,4.13,108,1.266,660,489,13,3439.0,3635,407,719,2201,*1
24,Steve Finley,1st,4,0.7%,72,36,19,44.0,32.0,38.0,57.2,2583,9397,1443,2548,304,1167,320,844,.271,.332,.442,.775,104,0,0,0.00,,1.000,1,0,0,1.0,0,0,1,0,*897/D1
25,Shawn Green,1st,2,0.4%,62,33,15,34.5,31.4,32.9,58.1,1951,7082,1129,2003,328,1070,162,744,.283,.355,.494,.850,120,,,,,,,,,,,,,,*9387D
26,Aaron Sele,1st,1,0.2%,21,15,15,20.6,19.4,20.0,62.1,404,58,5,9,0,1,0,3,.155,.197,.190,.386,1,148,112,4.61,100,1.491,404,352,0,2153.0,2413,225,798,1407,*1
27,Mike Stanton,1st,0,0.0%,62,7,19,14.9,15.7,15.3,34.4,1178,24,3,8,0,3,0,1,.333,.360,.375,.735,96,68,63,3.92,112,1.352,1178,1,84,1114.0,1086,93,420,895,*1
28,Royce Clayton,1st,0,0.0%,24,23,17,19.5,17.4,18.5,54.7,2108,7379,935,1904,110,723,231,565,.258,.312,.367,.679,78,,,,,,,,,,,,,,*6/5D
29,Rondell White,1st,0,0.0%,6,17,15,28.1,22.4,25.2,53.3,1474,5357,756,1519,198,768,94,360,.284,.336,.462,.799,108,,,,,,,,,,,,,,*7*8D
30,Jose Mesa,1st,0,0.0%,106,1,19,12.2,13.2,12.7,34.4,1023,2,1,0,0,0,0,1,.000,.333,.000,.333,-3,80,109,4.36,100,1.472,1022,95,321,1548.2,1629,151,651,1038,*1
31,Jeff Conine,1st,0,0.0%,22,23,17,19.4,17.7,18.6,53.3,2024,6957,870,1982,214,1071,54,671,.285,.347,.443,.789,107,,,,,,,,,,,,,,*3*79D5
32,Roberto Hernandez,1st,0,0.0%,86,7,17,19.0,18.7,18.8,34.4,1010,2,0,1,0,0,0,0,.500,.500,.500,1.000,166,67,71,3.45,131,1.367,1010,3,326,1071.1,1002,96,462,945,*1
33,Reggie Sanders,1st,0,0.0%,18,27,17,39.6,26.6,33.1,58.1,1777,6241,1037,1666,305,983,304,674,.267,.343,.487,.830,115,,,,,,,,,,,,,,*9*78/D
34,Todd Walker,1st,0,0.0%,10,22,12,10.5,9.8,10.1,56.9,1288,4554,647,1316,107,545,66,421,.289,.348,.435,.783,98,,,,,,,,,,,,,,*453D/76
35,Woody Williams,1st,0,0.0%,17,14,15,30.9,22.4,26.6,62.1,443,540,52,105,4,43,1,17,.194,.222,.267,.489,28,132,116,4.19,103,1.321,424,330,0,2216.1,2217,309,711,1480,*1
36,Jeff Cirillo,1st,0,0.0%,37,23,14,34.4,30.4,32.4,55.0,1617,5396,800,1598,112,727,63,563,.296,.366,.430,.796,102,0,0,0.00,,2.000,1,0,0,1.0,0,0,2,1,*534D/671
37,Ryan Klesko,1st,0,0.0%,24,26,16,26.9,21.7,24.3,54.2,1736,5611,874,1564,278,987,91,817,.279,.370,.500,.870,128,,,,,,,,,,,,,,*7*39/D
