1,Phil Niekro,5th,380,80.3%,157,52,24,96.6,54.5,75.6,62.1,866,1537,80,260,7,109,0,17,.169,.183,.211,.395,8,318,274,3.35,115,1.268,864,716,29,5404.0,5044,482,1809,3342,*1
2,Don Sutton HOF,4th,346,73.2%,149,58,23,67.4,34.0,50.7,62.1,785,1354,64,195,0,64,1,60,.144,.183,.157,.340,-2,324,256,3.26,108,1.142,774,756,5,5282.1,4692,472,1343,3574,*1
3,Tony Perez HOF,6th,312,66.0%,81,41,23,53.9,36.4,45.2,54.2,2777,9778,1272,2732,379,1652,49,925,.279,.341,.463,.804,122,,,,,,,,,,,,,,*3*5D/4
4,Ron Santo HOF,14th,186,39.3%,88,41,15,70.4,53.8,62.1,55.0,2243,8143,1138,2254,342,1331,35,1108,.277,.362,.464,.826,125,,,,,,,,,,,,,,*5D4/673
5,Jim Rice HOF,3rd,178,37.6%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
6,Steve Garvey,5th,167,35.3%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
7,Bruce Sutter HOF,4th,130,27.5%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
8,Jim Kaat,9th,107,22.6%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
9,X-Joe Torre HOF,15th,105,22.2%,96,40,18,57.6,37.2,47.4,54.2,2209,7874,996,2342,252,1185,23,779,.297,.365,.452,.817,129,,,,,,,,,,,,,,*2*3*5/7
10,Tommy John,3rd,97,20.5%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
11,Minnie Minoso,13th,84,17.8%,87,35,17,50.2,39.8,45.0,53.3,1835,6579,1136,1963,186,1023,205,814,.298,.389,.459,.848,130,,,,,,,,,,,,,,*7598/3D6
12,Dave Parker,1st,83,17.5%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
13,X-Dick Allen,14th,79,16.7%,99,39,15,58.7,45.8,52.3,55.0,1749,6332,1099,1848,351,1119,133,894,.292,.378,.534,.912,156,,,,,,,,,,,,,,*3*57/4D68
14,Dave Concepcion,4th,60,12.7%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
15,Luis Tiant,10th,53,11.2%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
16,Keith Hernandez,2nd,45,9.5%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
17,Mickey Lolich,13th,34,7.2%,98,37,16,49.1,38.6,43.8,62.1,592,821,63,90,0,31,1,105,.110,.215,.121,.335,-2,217,191,3.44,104,1.227,586,496,10,3638.1,3366,347,1099,2832,*1
18,Ron Guidry,4th,31,6.6%,106,38,14,48.1,38.1,43.1,62.1,379,0,4,0,0,0,0,0,,,,,,170,91,3.29,119,1.184,368,323,4,2392.0,2198,226,633,1778,*1/8
19,Dwight Evans,1st,28,5.9%,70,44,20,66.9,37.1,52.0,58.1,2606,8996,1470,2446,385,1384,78,1391,.272,.370,.470,.840,127,,,,,,,,,,,,,,*9D378
20,Bob Boone,2nd,28,5.9%,102,25,19,27.3,20.3,23.8,43.1,2264,7245,679,1838,105,826,38,663,.254,.315,.346,.661,82,,,,,,,,,,,,,,*2/35D7
21,X-Fred Lynn,2nd,22,4.7%,85,33,17,50.0,38.2,44.1,57.2,1969,6925,1063,1960,306,1111,72,857,.283,.360,.484,.845,129,,,,,,,,,,,,,,*897D
22,X-Ken Griffey,1st,22,4.7%,40,31,19,34.4,23.5,28.9,58.1,2097,7229,1129,2143,152,859,200,719,.296,.359,.431,.790,118,,,,,,,,,,,,,,*9*783/D
23,X-Graig Nettles,4th,22,4.7%,63,31,22,68.0,42.3,55.1,55.0,2700,8986,1193,2225,390,1314,32,1088,.248,.329,.421,.750,110,,,,,,,,,,,,,,*57/39D68
