1,Paul Molitor,1st,431,85.2%,166,59,21,75.4,39.6,57.5,55.0,2683,10835,1782,3319,234,1307,504,1094,.306,.369,.448,.817,122,,,,,,,,,,,,,,*D*5*4368/79
2,Dennis Eckersley,1st,421,83.2%,158,34,24,63.0,38.1,50.5,34.4,1073,181,9,24,3,12,0,9,.133,.173,.199,.372,0,197,171,3.50,116,1.161,1071,361,390,3285.2,3076,347,738,2401,*1/D
3,Ryne Sandberg HOF,2nd,309,61.1%,158,43,16,67.5,46.8,57.2,56.9,2164,8385,1318,2386,282,1061,344,761,.285,.344,.452,.795,114,,,,,,,,,,,,,,*45/6D
4,Bruce Sutter HOF,11th,301,59.5%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
5,Jim Rice HOF,10th,276,54.5%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
6,Andre Dawson HOF,3rd,253,50.0%,118,44,21,64.5,42.5,53.5,57.2,2627,9927,1373,2774,438,1591,314,589,.279,.323,.482,.806,119,,,,,,,,,,,,,,*9*8D7
7,Rich Gossage HOF,5th,206,40.7%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
8,Lee Smith,2nd,185,36.6%,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,.047,.090,.094,.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
9,Bert Blyleven HOF,7th,179,35.4%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
10,Jack Morris,5th,133,26.3%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
11,Steve Garvey,12th,123,24.3%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
12,Tommy John,10th,111,21.9%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
13,Alan Trammell,3rd,70,13.8%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
