1,Mike Schmidt,1st,444,96.5%,250,56,18,106.5,58.5,82.5,55.0,2404,8352,1506,2234,548,1595,174,1507,.267,.380,.527,.908,147,,,,,,,,,,,,,,*53/64
2,Phil Niekro HOF,3rd,286,62.2%,157,52,24,96.6,54.5,75.6,62.1,866,1537,80,260,7,109,0,17,.169,.183,.211,.395,8,318,274,3.35,115,1.268,864,716,29,5404.0,5044,482,1809,3342,*1
3,Don Sutton HOF,2nd,264,57.4%,149,58,23,67.4,34.0,50.7,62.1,785,1354,64,195,0,64,1,60,.144,.183,.157,.340,-2,324,256,3.26,108,1.142,774,756,5,5282.1,4692,472,1343,3574,*1
4,Tony Perez HOF,4th,259,56.3%,81,41,23,53.9,36.4,45.2,54.2,2777,9778,1272,2732,379,1652,49,925,.279,.341,.463,.804,122,,,,,,,,,,,,,,*3*5D/4
5,Steve Garvey,3rd,196,42.6%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
6,Tony Oliva,14th,149,32.4%,114,29,15,43.0,38.6,40.8,58.1,1676,6301,870,1917,220,947,86,448,.304,.353,.476,.830,131,,,,,,,,,,,,,,*9*D8/7
7,Ron Santo HOF,12th,139,30.2%,88,41,15,70.4,53.8,62.1,55.0,2243,8143,1138,2254,342,1331,35,1108,.277,.362,.464,.826,125,,,,,,,,,,,,,,*5D4/673
8,Bruce Sutter HOF,2nd,137,29.8%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
9,Jim Rice HOF,1st,137,29.8%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
10,Jim Kaat,7th,100,21.7%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
11,Tommy John,1st,98,21.3%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
12,Dick Allen,12th,72,15.7%,99,39,15,58.7,45.8,52.3,55.0,1749,6332,1099,1848,351,1119,133,894,.292,.378,.534,.912,156,,,,,,,,,,,,,,*3*57/4D68
13,Minnie Minoso,11th,66,14.3%,87,35,17,50.2,39.8,45.0,53.3,1835,6579,1136,1963,186,1023,205,814,.298,.389,.459,.848,130,,,,,,,,,,,,,,*7598/3D6
14,Curt Flood,14th,59,12.8%,59,16,15,41.7,32.7,37.2,57.2,1759,6357,851,1861,85,636,88,444,.293,.342,.389,.732,100,,,,,,,,,,,,,,*8/5749
15,Joe Torre HOF,13th,50,10.9%,96,40,18,57.6,37.2,47.4,54.2,2209,7874,996,2342,252,1185,23,779,.297,.365,.452,.817,129,,,,,,,,,,,,,,*2*3*5/7
16,Luis Tiant,8th,45,9.8%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
17,Dave Concepcion,2nd,43,9.3%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
18,Bobby Bonds,9th,35,7.6%,66,36,14,57.7,41.0,49.4,58.1,1849,7043,1258,1886,332,1024,461,914,.268,.353,.471,.824,129,,,,,,,,,,,,,,*98D7
19,Vada Pinson,14th,32,7.0%,95,36,18,54.1,40.0,47.0,57.2,2469,9645,1365,2757,256,1169,305,574,.286,.327,.442,.769,111,,,,,,,,,,,,,,*8*97/3D
20,X-Thurman Munson,15th,30,6.5%,90,29,11,45.9,37.0,41.5,43.1,1423,5344,696,1558,113,701,48,438,.292,.346,.410,.756,116,,,,,,,,,,,,,,*2D/9375
21,Graig Nettles,2nd,28,6.1%,63,31,22,68.0,42.3,55.1,55.0,2700,8986,1193,2225,390,1314,32,1088,.248,.329,.421,.750,110,,,,,,,,,,,,,,*57/39D68
22,Vida Blue,4th,26,5.7%,114,35,17,45.5,38.6,42.0,62.1,508,512,37,53,4,15,0,49,.104,.186,.145,.330,-4,209,161,3.27,108,1.233,502,473,2,3343.1,2939,263,1185,2175,*1
23,Mickey Lolich,11th,26,5.7%,98,37,16,49.1,38.6,43.8,62.1,592,821,63,90,0,31,1,105,.110,.215,.121,.335,-2,217,191,3.44,104,1.227,586,496,10,3638.1,3366,347,1099,2832,*1
24,Ron Guidry,2nd,25,5.4%,106,38,14,48.1,38.1,43.1,62.1,379,0,4,0,0,0,0,0,,,,,,170,91,3.29,119,1.184,368,323,4,2392.0,2198,226,633,1778,*1/8
25,Rusty Staub,5th,23,5.0%,59,38,23,45.8,33.3,39.5,58.1,2951,9720,1189,2716,292,1466,47,1255,.279,.362,.431,.793,124,,,,,,,,,,,,,,*9*D*37/8
26,X-George Foster,4th,19,4.1%,92,27,18,43.9,36.7,40.3,53.3,1977,7023,986,1925,348,1239,51,666,.274,.338,.480,.818,126,,,,,,,,,,,,,,*789/D3
27,X-Don Baylor,2nd,12,2.6%,44,30,19,28.3,21.6,24.9,53.3,2292,8198,1236,2135,338,1276,285,805,.260,.342,.436,.777,118,,,,,,,,,,,,,,*D*7938
28,X-Buddy Bell,1st,8,1.7%,67,30,18,66.1,40.4,53.2,55.0,2405,8995,1151,2514,201,1106,55,836,.279,.341,.406,.747,109,,,,,,,,,,,,,,*5986/D374
29,X-Darrell Evans,1st,8,1.7%,42,40,21,58.5,37.1,47.8,55.0,2687,8973,1344,2223,414,1354,98,1605,.248,.361,.431,.792,119,,,,,,,,,,,,,,*5*3D7/6
30,X-Kent Tekulve,1st,6,1.3%,52,14,16,26.3,19.8,23.0,34.4,1050,121,8,10,0,2,0,6,.083,.126,.083,.209,-41,94,90,2.85,132,1.250,1050,0,184,1436.2,1305,63,491,779,*1/7
31,X-Bob Forsch,1st,2,0.4%,33,20,16,25.1,22.5,23.8,62.1,509,893,77,190,12,84,3,27,.213,.235,.321,.557,53,168,136,3.76,98,1.291,498,422,3,2794.2,2777,216,832,1133,*1
32,X-Willie Hernandez,1st,2,0.4%,48,13,13,17.2,16.3,16.7,34.4,747,63,4,13,0,3,2,1,.206,.219,.238,.457,23,70,63,3.38,119,1.245,744,11,147,1044.2,952,97,349,788,*1
33,X-Jim Sundberg,1st,1,0.2%,87,24,16,40.5,28.6,34.5,43.1,1962,6021,621,1493,95,624,20,699,.248,.327,.348,.674,90,,,,,,,,,,,,,,*2/7D
34,X-Mike Krukow,1st,1,0.2%,10,11,14,24.1,19.9,22.0,62.1,371,722,44,139,5,54,3,17,.193,.214,.244,.457,26,124,117,3.90,96,1.349,369,355,1,2190.2,2188,196,767,1478,*1
35,X-Chris Speier,1st,1,0.2%,26,19,19,30.6,22.4,26.5,54.7,2260,7156,770,1759,112,720,42,847,.246,.327,.349,.676,88,,,,,,,,,,,,,,*654/3
36,X-Greg Gross,1st,0,0.0%,12,16,17,12.8,13.4,13.1,58.1,1809,3745,449,1073,7,308,39,523,.287,.372,.351,.723,103,0,0,10.80,50,3.600,2,0,0,1.2,4,0,2,3,*7*983/1
37,X-Doyle Alexander,1st,0,0.0%,23,24,19,35.5,29.8,32.6,62.1,562,265,19,44,0,17,0,9,.166,.195,.196,.391,9,194,174,3.76,103,1.293,561,464,3,3367.2,3376,324,978,1528,*1
38,X-Rick Rhoden,1st,0,0.0%,24,21,16,35.9,30.4,33.2,62.1,427,761,58,181,9,75,0,17,.238,.253,.323,.576,60,151,125,3.59,104,1.314,413,380,1,2593.2,2606,198,801,1419,*1/D
39,X-Manny Trillo,1st,0,0.0%,23,12,17,11.1,10.2,10.7,56.9,1780,5950,598,1562,61,571,56,452,.263,.316,.345,.660,81,,,,,,,,,,,,,,*453/6
