1,Phil Niekro HOF,4th,321,68.3%,157,52,24,96.6,54.5,75.6,62.1,866,1537,80,260,7,109,0,17,.169,.183,.211,.395,8,318,274,3.35,115,1.268,864,716,29,5404.0,5044,482,1809,3342,*1
2,Tony Perez HOF,5th,309,65.7%,81,41,23,53.9,36.4,45.2,54.2,2777,9778,1272,2732,379,1652,49,925,.279,.341,.463,.804,122,,,,,,,,,,,,,,*3*5D/4
3,Don Sutton HOF,3rd,300,63.8%,149,58,23,67.4,34.0,50.7,62.1,785,1354,64,195,0,64,1,60,.144,.183,.157,.340,-2,324,256,3.26,108,1.142,774,756,5,5282.1,4692,472,1343,3574,*1
4,Steve Garvey,4th,175,37.2%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
5,Ron Santo HOF,13th,174,37.0%,88,41,15,70.4,53.8,62.1,55.0,2243,8143,1138,2254,342,1331,35,1108,.277,.362,.464,.826,125,,,,,,,,,,,,,,*5D4/673
6,X-Tony Oliva,15th,170,36.2%,114,29,15,43.0,38.6,40.8,58.1,1676,6301,870,1917,220,947,86,448,.304,.353,.476,.830,131,,,,,,,,,,,,,,*9*D8/7
7,Jim Rice HOF,2nd,166,35.3%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
8,Bruce Sutter HOF,3rd,137,29.1%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
9,Tommy John,2nd,102,21.7%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
10,Jim Kaat,8th,91,19.4%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
11,Dick Allen,13th,89,18.9%,99,39,15,58.7,45.8,52.3,55.0,1749,6332,1099,1848,351,1119,133,894,.292,.378,.534,.912,156,,,,,,,,,,,,,,*3*57/4D68
12,X-Curt Flood,15th,71,15.1%,59,16,15,41.7,32.7,37.2,57.2,1759,6357,851,1861,85,636,88,444,.293,.342,.389,.732,100,,,,,,,,,,,,,,*8/5749
13,Luis Tiant,9th,64,13.6%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
14,Dave Concepcion,3rd,63,13.4%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
15,Minnie Minoso,12th,62,13.2%,87,35,17,50.2,39.8,45.0,53.3,1835,6579,1136,1963,186,1023,205,814,.298,.389,.459,.848,130,,,,,,,,,,,,,,*7598/3D6
16,X-Vada Pinson,15th,51,10.9%,95,36,18,54.1,40.0,47.0,57.2,2469,9645,1365,2757,256,1169,305,574,.286,.327,.442,.769,111,,,,,,,,,,,,,,*8*97/3D
17,Joe Torre HOF,14th,50,10.6%,96,40,18,57.6,37.2,47.4,54.2,2209,7874,996,2342,252,1185,23,779,.297,.365,.452,.817,129,,,,,,,,,,,,,,*2*3*5/7
18,Graig Nettles,3rd,37,7.9%,63,31,22,68.0,42.3,55.1,55.0,2700,8986,1193,2225,390,1314,32,1088,.248,.329,.421,.750,110,,,,,,,,,,,,,,*57/39D68
19,Ron Guidry,3rd,37,7.9%,106,38,14,48.1,38.1,43.1,62.1,379,0,4,0,0,0,0,0,,,,,,170,91,3.29,119,1.184,368,323,4,2392.0,2198,226,633,1778,*1/8
20,Bob Boone,1st,36,7.7%,102,25,19,27.3,20.3,23.8,43.1,2264,7245,679,1838,105,826,38,663,.254,.315,.346,.661,82,,,,,,,,,,,,,,*2/35D7
21,Mickey Lolich,12th,33,7.0%,98,37,16,49.1,38.6,43.8,62.1,592,821,63,90,0,31,1,105,.110,.215,.121,.335,-2,217,191,3.44,104,1.227,586,496,10,3638.1,3366,347,1099,2832,*1
22,Fred Lynn,1st,26,5.5%,85,33,17,50.0,38.2,44.1,57.2,1969,6925,1063,1960,306,1111,72,857,.283,.360,.484,.845,129,,,,,,,,,,,,,,*897D
23,Keith Hernandez,1st,24,5.1%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
24,Bobby Bonds,10th,24,5.1%,66,36,14,57.7,41.0,49.4,58.1,1849,7043,1258,1886,332,1024,461,914,.268,.353,.471,.824,129,,,,,,,,,,,,,,*98D7
25,Rusty Staub,6th,24,5.1%,59,38,23,45.8,33.3,39.5,58.1,2951,9720,1189,2716,292,1466,47,1255,.279,.362,.431,.793,124,,,,,,,,,,,,,,*9*D*37/8
26,X-Dan Quisenberry,1st,18,3.8%,68,19,12,25.4,23.1,24.2,34.4,674,6,0,1,0,1,0,1,.167,.286,.167,.452,32,56,46,2.76,146,1.175,674,0,244,1043.1,1064,59,162,379,*1
27,X-Frank White,1st,18,3.8%,81,19,18,34.7,23.6,29.1,56.9,2324,7859,912,2006,160,886,178,412,.255,.293,.383,.675,85,,,,,,,,,,,,,,*46/5D9
28,X-Bill Buckner,1st,10,2.1%,70,26,22,14.8,16.2,15.5,54.2,2517,9397,1077,2715,174,1208,183,450,.289,.321,.408,.729,100,,,,,,,,,,,,,,*3*79D
29,X-Jerry Reuss,1st,2,0.4%,49,29,22,35.6,29.6,32.6,62.1,631,1024,71,171,1,58,1,69,.167,.220,.195,.415,17,220,191,3.64,100,1.325,628,547,11,3669.2,3734,245,1127,1907,*1
30,X-John Tudor,1st,2,0.4%,37,26,12,34.6,30.7,32.7,62.1,289,384,22,59,0,18,1,17,.154,.189,.182,.371,4,117,72,3.12,124,1.198,281,263,1,1797.0,1677,156,475,988,1
