1,Carlton Fisk,2nd,397,79.6%,120,49,24,68.3,37.5,52.9,43.1,2499,8756,1276,2356,376,1330,128,849,.269,.341,.457,.797,117,,,,,,,,,,,,,,*2D7/35
2,Tony Perez,9th,385,77.2%,81,41,23,53.9,36.4,45.2,54.2,2777,9778,1272,2732,379,1652,49,925,.279,.341,.463,.804,122,,,,,,,,,,,,,,*3*5D/4
3,Jim Rice HOF,6th,257,51.5%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
4,Gary Carter HOF,3rd,248,49.7%,135,41,19,69.9,48.2,59.1,43.1,2296,7971,1025,2092,324,1225,39,848,.262,.335,.439,.773,115,,,,,,,,,,,,,,*293/75
5,Bruce Sutter HOF,7th,192,38.5%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
6,Rich Gossage HOF,1st,166,33.3%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
7,Steve Garvey,8th,160,32.1%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
8,Tommy John,6th,135,27.1%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
9,Jim Kaat,12th,125,25.1%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
10,Dale Murphy,2nd,116,23.2%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
11,Jack Morris,1st,111,22.2%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
