1,Ozzie Smith,1st,433,91.7%,142,35,19,76.5,42.3,59.4,54.7,2573,9396,1257,2460,28,793,580,1072,.262,.337,.328,.666,87,,,,,,,,,,,,,,*6
2,Gary Carter HOF,5th,343,72.7%,135,41,19,69.9,48.2,59.1,43.1,2296,7971,1025,2092,324,1225,39,848,.262,.335,.439,.773,115,,,,,,,,,,,,,,*293/75
3,Jim Rice HOF,8th,260,55.1%,146,43,16,47.4,36.2,41.8,53.3,2089,8225,1249,2452,382,1451,58,670,.298,.352,.502,.854,128,,,,,,,,,,,,,,*7*D9/8
4,Bruce Sutter HOF,9th,238,50.4%,79,17,12,24.6,24.6,24.6,34.4,661,102,6,9,0,6,1,7,.088,.153,.088,.241,-33,68,71,2.83,136,1.140,661,0,300,1042.0,879,77,309,861,*1
5,Andre Dawson HOF,1st,214,45.3%,118,44,21,64.5,42.5,53.5,57.2,2627,9927,1373,2774,438,1591,314,589,.279,.323,.482,.806,119,,,,,,,,,,,,,,*9*8D7
6,Rich Gossage HOF,3rd,203,43.0%,109,19,22,42.0,32.0,37.0,34.4,1003,85,1,9,0,2,0,4,.106,.146,.118,.264,-25,124,107,3.01,126,1.232,1002,37,310,1809.1,1497,119,732,1502,*1/D
7,Steve Garvey,10th,134,28.4%,130,32,19,37.7,28.6,33.1,54.2,2332,8835,1143,2599,272,1308,83,479,.294,.329,.446,.775,117,,,,,,,,,,,,,,*35/749
8,Tommy John,8th,127,26.9%,112,44,26,62.0,34.7,48.4,62.1,761,900,43,141,5,54,0,33,.157,.187,.188,.375,7,288,231,3.34,111,1.283,760,700,3,4710.1,4783,302,1259,2245,*1
9,Bert Blyleven HOF,5th,124,26.3%,120,50,22,95.3,50.7,73.0,62.1,699,451,19,59,0,25,0,5,.131,.144,.146,.290,-19,287,250,3.31,118,1.198,692,685,0,4970.0,4632,430,1322,3701,*1
10,Jim Kaat,14th,109,23.1%,130,44,25,51.4,38.4,44.9,62.1,1004,1251,117,232,16,106,5,63,.185,.227,.267,.494,37,283,237,3.45,108,1.259,898,625,17,4530.1,4620,395,1083,2461,*1/D
11,Jack Morris,3rd,97,20.6%,122,39,18,44.1,32.8,38.4,62.1,568,1,4,0,0,0,0,0,.000,.000,.000,.000,-100,254,186,3.90,105,1.296,549,527,0,3824.0,3567,389,1390,2478,*1/D
12,Don Mattingly,2nd,96,20.3%,134,34,14,42.2,35.6,38.9,54.2,1785,7003,1007,2153,222,1099,14,588,.307,.358,.471,.830,127,,,,,,,,,,,,,,*3D97/548
13,X-Luis Tiant,15th,85,18.0%,97,41,19,66.7,44.6,55.6,62.1,573,513,36,84,5,44,1,13,.164,.185,.224,.409,17,229,172,3.30,114,1.199,573,484,15,3486.1,3075,346,1104,2416,*1
14,Alan Trammell,1st,74,15.7%,118,40,20,70.4,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
15,Dale Murphy,4th,70,14.8%,116,34,18,46.2,41.0,43.6,57.2,2180,7960,1197,2111,398,1266,161,986,.265,.346,.469,.815,121,,,,,,,,,,,,,,*8*9372
16,Dave Parker,6th,66,14.0%,124,42,19,39.9,37.2,38.6,58.1,2466,9358,1272,2712,339,1493,154,683,.290,.339,.471,.810,121,,,,,,,,,,,,,,*9*D78/34
17,Dave Concepcion,9th,56,11.9%,106,29,19,39.8,29.7,34.8,54.7,2488,8723,993,2326,101,950,321,736,.267,.322,.357,.679,88,0,0,0.00,,1.500,1,0,0,1.1,2,0,0,1,*6453/81
18,Keith Hernandez,7th,29,6.1%,86,32,17,60.0,41.0,50.5,54.2,2088,7370,1124,2182,162,1071,98,1070,.296,.384,.436,.821,128,,,,,,,,,,,,,,*3/79
19,X-Ron Guidry,9th,23,4.9%,106,38,14,48.1,38.1,43.1,62.1,379,0,4,0,0,0,0,0,,,,,,170,91,3.29,119,1.184,368,323,4,2392.0,2198,226,633,1778,*1/8
20,X-Dave Stewart,2nd,23,4.9%,75,21,16,26.8,24.3,25.6,62.1,523,51,5,10,0,4,0,3,.196,.241,.255,.496,40,168,129,3.95,100,1.344,523,348,19,2629.2,2499,264,1034,1741,*1
21,X-Frank Viola,1st,2,0.4%,69,24,15,47.4,41.4,44.4,62.1,421,185,8,26,0,6,0,3,.141,.154,.157,.311,-12,176,150,3.73,112,1.301,421,420,0,2836.1,2827,294,864,1844,*1
22,X-Mike Greenwell,1st,2,0.4%,34,23,12,25.7,25.6,25.6,53.3,1269,4623,657,1400,130,726,80,460,.303,.368,.463,.831,121,,,,,,,,,,,,,,*7D9/28
23,X-Lenny Dykstra,1st,1,0.2%,39,20,12,42.2,32.9,37.6,57.2,1278,4559,802,1298,81,404,285,640,.285,.375,.419,.793,120,,,,,,,,,,,,,,*8/7
24,X-Tim Wallach,1st,1,0.2%,48,24,17,38.3,30.4,34.3,55.0,2212,8099,908,2085,260,1125,51,649,.257,.316,.416,.732,102,0,0,4.50,120,1.500,2,0,0,2.0,3,0,0,0,*539/D7146
25,X-Mike Henneman,1st,0,0.0%,18,15,10,13.2,13.8,13.5,34.4,561,1,0,0,0,0,0,0,.000,.000,.000,.000,-100,57,42,3.21,131,1.306,561,0,193,732.2,686,47,271,533,*1
26,X-Jeff Russell,1st,0,0.0%,25,7,14,15.2,13.8,14.5,34.4,591,79,3,11,1,10,0,5,.139,.188,.215,.403,11,56,73,3.75,112,1.346,589,79,186,1099.2,1065,100,415,693,*1
27,X-Scott Sanderson,1st,0,0.0%,16,22,19,28.1,20.7,24.4,62.1,473,474,20,46,2,26,0,26,.097,.150,.137,.288,-20,163,143,3.84,102,1.255,472,407,5,2561.2,2590,297,625,1611,*1
28,X-Robby Thompson,1st,0,0.0%,16,20,11,33.6,30.1,31.9,56.9,1304,4612,671,1187,119,458,103,439,.257,.329,.403,.733,105,,,,,,,,,,,,,,*4/6
